canonical_id,canonical_name_ko,kmta_part,meatbox_parts,meatbox_count,usda_codes,usda_code_count,usda_primal,ml_target,has_meatbox,has_usda_cut,has_usda_primal,chain_completeness,notes_ko,review_question
la_galbi,LA갈비,갈비,LA갈비 | 갈비살/늑간살 | 황제늑간,3,123A,1,Primal Plate,True,True,True,True,FULL,USDA Short Plate short rib(123A). 늑간살(rib finger)은 갈비뼈 사이 살 — LA갈비와 동일 원료 축,"이 매핑이 적절한가? 한국 부위 'LA갈비'를 미트박스 [LA갈비, 갈비살/늑간살, 황제늑간], KMTA '갈비', USDA [123A] 에 연결한 것이 정확한지 확인 요청."
chuck_galbi,척갈비,갈비,앞/척갈비 | 척리블렛,2,130,1,Primal Chuck,True,True,True,True,FULL,USDA Chuck short rib(130). 척리블렛은 척갈비 부산 컷,"이 매핑이 적절한가? 한국 부위 '척갈비'를 미트박스 [앞/척갈비, 척리블렛], KMTA '갈비', USDA [130] 에 연결한 것이 정확한지 확인 요청."
back_rib,등갈비/백립,갈비,등갈비/백립 | BBQ등갈비 | 백립(조각백립) | 등갈비/백립(#2스펙),4,,0,Primal Rib,True,True,False,True,FULL,USDA back rib(124)는 LM_XB403 수집 데이터에 없음 — Primal Rib 지수 대체,"이 매핑이 적절한가? 한국 부위 '등갈비/백립'를 미트박스 [등갈비/백립, BBQ등갈비, 백립(조각백립), 등갈비/백립(#2스펙)], KMTA '갈비', USDA [Primal Rib] 에 연결한 것이 정확한지 확인 요청."
brisket_yangji,차돌양지,양지,차돌양지 | 차돌박이,2,"120, 120A",2,Primal Brisket,True,True,True,True,FULL,USDA Brisket(120/120A). 수입·재고는 KMTA '양지' 합산 — 삼겹양지와 공유,"이 매핑이 적절한가? 한국 부위 '차돌양지'를 미트박스 [차돌양지, 차돌박이], KMTA '양지', USDA [120, 120A] 에 연결한 것이 정확한지 확인 요청."
plate_yangji,삼겹양지,양지,삼겹양지 | 삼겹양지(조각),2,,0,Primal Plate,True,True,False,True,FULL,"USDA Short Plate(Navel) — boxed cut 코드 없음, Primal Plate 지수 사용. 수입·재고는 KMTA '양지' 합산 — 차돌양지와 공유","이 매핑이 적절한가? 한국 부위 '삼겹양지'를 미트박스 [삼겹양지, 삼겹양지(조각)], KMTA '양지', USDA [Primal Plate] 에 연결한 것이 정확한지 확인 요청."
chuck_roll,목심,목심,알목심,1,"116A, 916A",2,Primal Chuck,True,True,True,True,FULL,USDA Chuck Roll(116A/916A),"이 매핑이 적절한가? 한국 부위 '목심'를 미트박스 [알목심], KMTA '목심', USDA [116A, 916A] 에 연결한 것이 정확한지 확인 요청."
chuck_flap,살치살,목심,살치살,1,116G,1,Primal Chuck,True,True,True,True,FULL,USDA Chuck flap(116G). 척롤 복합부위에서 분리 — KMTA 분류는 목심 추정 (앞다리 가능성 있음),"이 매핑이 적절한가? 한국 부위 '살치살'를 미트박스 [살치살], KMTA '목심', USDA [116G] 에 연결한 것이 정확한지 확인 요청."
ribeye,등심,등심,,0,"109E, 112A",2,Primal Rib,False,False,True,True,PARTIAL,"USDA Ribeye. 미트박스 미취급(꽃등심 품목 없음) — ML 타깃 불가, 피처(선행지표)로만 사용","이 매핑이 적절한가? 한국 부위 '등심'를 미트박스 [없음], KMTA '등심', USDA [109E, 112A] 에 연결한 것이 정확한지 확인 요청."
striploin,채끝,채끝,센터컷,1,"180, 175",2,Primal Loin,True,True,True,True,FULL,USDA Strip loin(180/175) = 채끝. 미트박스 '센터컷'은 스트립로인 센터컷,"이 매핑이 적절한가? 한국 부위 '채끝'를 미트박스 [센터컷], KMTA '채끝', USDA [180, 175] 에 연결한 것이 정확한지 확인 요청."
chuck,앞다리,앞다리,알전각/볼라전각,1,"114, 114A, 114E, 116B",4,Primal Chuck,True,True,True,True,FULL,USDA Shoulder clod(114/114A/114E)·Chuck tender(116B). 알전각/볼라(bolar)는 전각(clod) 컷,"이 매핑이 적절한가? 한국 부위 '앞다리'를 미트박스 [알전각/볼라전각], KMTA '앞다리', USDA [114, 114A, 114E, 116B] 에 연결한 것이 정확한지 확인 요청."
top_blade,부채살,앞다리,부채살,1,114D,1,Primal Chuck,True,True,True,True,FULL,USDA Top blade(114D). KMTA는 앞다리 합산 — 수입·재고 해상도 한계,"이 매핑이 적절한가? 한국 부위 '부채살'를 미트박스 [부채살], KMTA '앞다리', USDA [114D] 에 연결한 것이 정확한지 확인 요청."
tenderloin,안심,안심,,0,189A,1,Primal Loin,False,False,True,True,PARTIAL,USDA Tenderloin(189A). 미트박스 미취급 — 피처 전용,"이 매핑이 적절한가? 한국 부위 '안심'를 미트박스 [없음], KMTA '안심', USDA [189A] 에 연결한 것이 정확한지 확인 요청."
skirt,안창살/토시살,기타,안창살 | 토시살,2,,0,Primal Plate,False,True,False,True,FULL,USDA skirt(121C/121D)·hanging tender는 수집 데이터에 없음. KMTA 분류 불명(기타 추정) — ML 제외,"이 매핑이 적절한가? 한국 부위 '안창살/토시살'를 미트박스 [안창살, 토시살], KMTA '기타', USDA [Primal Plate] 에 연결한 것이 정확한지 확인 요청."
round,우둔,우둔,,0,"168, 169, 169A, 171C",4,Primal Round,False,False,True,True,PARTIAL,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"이 매핑이 적절한가? 한국 부위 '우둔'를 미트박스 [없음], KMTA '우둔', USDA [168, 169, 169A, 171C] 에 연결한 것이 정확한지 확인 요청."
seoldo,설도,설도,설도 | 설깃,2,"167A, 170, 171B, 184, 184B, 185B, 185C, 185D",8,Primal Round,True,True,True,True,FULL,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"이 매핑이 적절한가? 한국 부위 '설도'를 미트박스 [설도, 설깃], KMTA '설도', USDA [167A, 170, 171B, 184, 184B, 185B, 185C, 185D] 에 연결한 것이 정확한지 확인 요청."
shank,사태,사태,아롱사태 | 스지 | 스지(뒷스지),3,,0,,False,True,False,False,PARTIAL,USDA shank는 LM_XB403 boxed beef에 미보고 — USDA 소스 없음,"이 매핑이 적절한가? 한국 부위 '사태'를 미트박스 [아롱사태, 스지, 스지(뒷스지)], KMTA '사태', USDA [없음] 에 연결한 것이 정확한지 확인 요청."
