usda_code,usda_description,primal_group,mapped_canonical_id,mapped_canonical_name_ko,mapped_kmta_part,mapped_meatbox_examples,status,notes_ko,review_question
120,"Brisket, deckle-off, bnls (120  1)",Brisket,brisket_yangji,차돌양지,양지,차돌양지 | 차돌박이,MAPPED,USDA Brisket(120/120A). 수입·재고는 KMTA '양지' 합산 — 삼겹양지와 공유,"USDA 코드 '120' (Brisket, deckle-off, bnls (120  1))는 한국 부위 '차돌양지'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
120A,"Brisket, point/off, bnls (120A  3)",Brisket,brisket_yangji,차돌양지,양지,차돌양지 | 차돌박이,MAPPED,USDA Brisket(120/120A). 수입·재고는 KMTA '양지' 합산 — 삼겹양지와 공유,"USDA 코드 '120A' (Brisket, point/off, bnls (120A  3))는 한국 부위 '차돌양지'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
113C,"Chuck, semi-bnls, neck/off (113C  1)",Chuck,,,,,UNMAPPED,,"USDA 코드 '113C' (Chuck, semi-bnls, neck/off (113C  1))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
114,"Chuck, shoulder clod (114  1)",Chuck,chuck,앞다리,앞다리,알전각/볼라전각,MAPPED,USDA Shoulder clod(114/114A/114E)·Chuck tender(116B). 알전각/볼라(bolar)는 전각(clod) 컷,"USDA 코드 '114' (Chuck, shoulder clod (114  1))는 한국 부위 '앞다리'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
114A,"Chuck, shoulder clod, trmd (114A  3)",Chuck,chuck,앞다리,앞다리,알전각/볼라전각,MAPPED,USDA Shoulder clod(114/114A/114E)·Chuck tender(116B). 알전각/볼라(bolar)는 전각(clod) 컷,"USDA 코드 '114A' (Chuck, shoulder clod, trmd (114A  3))는 한국 부위 '앞다리'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
114D,"Chuck, clod, top blade (114D  3)",Chuck,top_blade,부채살,앞다리,부채살,MAPPED,USDA Top blade(114D). KMTA는 앞다리 합산 — 수입·재고 해상도 한계,"USDA 코드 '114D' (Chuck, clod, top blade (114D  3))는 한국 부위 '부채살'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
114E,"Chuck, clod, arm roast (114E  3)",Chuck,chuck,앞다리,앞다리,알전각/볼라전각,MAPPED,USDA Shoulder clod(114/114A/114E)·Chuck tender(116B). 알전각/볼라(bolar)는 전각(clod) 컷,"USDA 코드 '114E' (Chuck, clod, arm roast (114E  3))는 한국 부위 '앞다리'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
114F,"Chuck, clod tender (114F  5)",Chuck,,,,,UNMAPPED,,"USDA 코드 '114F' (Chuck, clod tender (114F  5))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
116A,"Chuck, roll, lxl, neck/off (116A  3)",Chuck,chuck_roll,목심,목심,알목심,MAPPED,USDA Chuck Roll(116A/916A),"USDA 코드 '116A' (Chuck, roll, lxl, neck/off (116A  3))는 한국 부위 '목심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
116B,"Chuck, chuck tender (116B  1)",Chuck,chuck,앞다리,앞다리,알전각/볼라전각,MAPPED,USDA Shoulder clod(114/114A/114E)·Chuck tender(116B). 알전각/볼라(bolar)는 전각(clod) 컷,"USDA 코드 '116B' (Chuck, chuck tender (116B  1))는 한국 부위 '앞다리'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
116G,"Chuck, flap (116G  4)",Chuck,chuck_flap,살치살,목심,살치살,MAPPED,USDA Chuck flap(116G). 척롤 복합부위에서 분리 — KMTA 분류는 목심 추정 (앞다리 가능성 있음),"USDA 코드 '116G' (Chuck, flap (116G  4))는 한국 부위 '살치살'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
130,"Chuck, short rib (130  4)",Chuck,chuck_galbi,척갈비,갈비,앞/척갈비 | 척리블렛,MAPPED,USDA Chuck short rib(130). 척리블렛은 척갈비 부산 컷,"USDA 코드 '130' (Chuck, short rib (130  4))는 한국 부위 '척갈비'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
916A,"Chuck, roll, retail ready (916A  3)",Chuck,chuck_roll,목심,목심,알목심,MAPPED,USDA Chuck Roll(116A/916A),"USDA 코드 '916A' (Chuck, roll, retail ready (916A  3))는 한국 부위 '목심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
193,"Flank, flank steak (193  4)",Flank,,,,,UNMAPPED,,"USDA 코드 '193' (Flank, flank steak (193  4))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
,"Loin, strip loin bnls. 1x1 (  1)",Loin,,,,,NO_CODE,,"USDA 코드 '' (Loin, strip loin bnls. 1x1 (  1))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
174,"Loin, short loin, 0x1 (174  3)",Loin,,,,,UNMAPPED,,"USDA 코드 '174' (Loin, short loin, 0x1 (174  3))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
175,"Loin, strip loin, 1x1 (175  3)",Loin,striploin,채끝,채끝,센터컷,MAPPED,USDA Strip loin(180/175) = 채끝. 미트박스 '센터컷'은 스트립로인 센터컷,"USDA 코드 '175' (Loin, strip loin, 1x1 (175  3))는 한국 부위 '채끝'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
180,"Loin, strip, bnls, 0x1 (180  3)",Loin,striploin,채끝,채끝,센터컷,MAPPED,USDA Strip loin(180/175) = 채끝. 미트박스 '센터컷'은 스트립로인 센터컷,"USDA 코드 '180' (Loin, strip, bnls, 0x1 (180  3))는 한국 부위 '채끝'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
184,"Loin, top butt, bnls, heavy (184  1)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '184' (Loin, top butt, bnls, heavy (184  1))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
